2018/08/18 15:01:28 [error] 8272#9504: *65 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:01:28 [error] 8272#9504: *66 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:01:37 [error] 8272#9504: *66 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:01:37 [error] 8272#9504: *65 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:01:37 [error] 8272#9504: *64 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:03:47 [error] 8272#9504: *73 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:03:47 [error] 8272#9504: *74 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 15:03:47 [error] 8272#9504: *75 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 17:05:18 [error] 8272#9504: *76 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 17:05:18 [error] 8272#9504: *77 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
